ranking_title,year,running_time,rating,imdb_score,vote,metascore,plot
76. Hook,1991,2h 22m,PG,IMDb rating: 6.8, (273K),52,
77. Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,IMDb rating: 7.9, (692K),82,
78. The Wizard of Oz,1939,1h 42m,G,IMDb rating: 8.1, (429K),92,
79. The Incredibles,2004,1h 55m,PG,IMDb rating: 8.0, (810K),90,
80. The Princess Diaries,2001,1h 55m,G,IMDb rating: 6.4, (164K),52,
81. Toy Story,1995,1h 21m,G,IMDb rating: 8.3, (1.1M),96,
82. Scooby-Doo,2002,1h 26m,PG,IMDb rating: 5.3, (126K),35,
83. Matilda,1996,1h 42m,PG,IMDb rating: 7.0, (175K),72,
84. The Sandlot,1993,1h 41m,PG,IMDb rating: 7.8, (102K),55,
85. Return to Oz,1985,1h 53m,PG,IMDb rating: 6.7, (30K),42,
86. Zootopia,2016,1h 48m,PG,IMDb rating: 8.0, (547K),78,
87. Harry Potter and the Chamber of Secrets,2002,2h 41m,PG,IMDb rating: 7.4, (693K),63,
88. Fullmetal Alchemist: Brotherhood,2009–2010,,TV-14,IMDb rating: 9.1, (198K),,
89. Megamind vs. The Doom Syndicate,2024,1h 23m,TV-G,IMDb rating: 2.4, (3.8K),,
90. Full House,1987–1995,,TV-G,IMDb rating: 6.8, (63K),,
91. The Karate Kid,1984,2h 6m,PG,IMDb rating: 7.3, (245K),60,
92. Up,2009,1h 36m,PG,IMDb rating: 8.3, (1.1M),88,
93. Coco,2017,1h 45m,PG,IMDb rating: 8.4, (592K),81,
94. Frozen,2013,1h 42m,PG,IMDb rating: 7.4, (665K),75,
95. Tangled,2010,1h 40m,PG,IMDb rating: 7.7, (495K),71,
96. The Sound of Music,1965,2h 52m,G,IMDb rating: 8.1, (261K),63,
97. Beauty and the Beast,2017,2h 9m,PG,IMDb rating: 7.1, (335K),65,
98. The Spiderwick Chronicles,2008,1h 36m,PG,IMDb rating: 6.5, (103K),62,
"99. Monsters, Inc.",2001,1h 32m,G,IMDb rating: 8.1, (980K),79,
100. Regular Show,2010–2017,,TV-PG,IMDb rating: 8.5, (58K),,
101. Shrek 2,2004,1h 33m,PG,IMDb rating: 7.3, (506K),75,
102. Stardust,2007,2h 7m,PG-13,IMDb rating: 7.6, (285K),66,
103. Home Improvement,1991–1999,,TV-PG,IMDb rating: 7.2, (49K),,
104. Gravity Falls,2012–2016,,TV-Y7,IMDb rating: 8.9, (136K),,
105. The NeverEnding Story,1984,1h 42m,PG,IMDb rating: 7.3, (157K),46,
106. Kung Fu Panda 3,2016,1h 35m,PG,IMDb rating: 7.1, (190K),66,
107. Home Alone,1990,1h 43m,PG,IMDb rating: 7.7, (653K),63,
108. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,IMDb rating: 7.7, (600K),65,
109. Jurassic World: Chaos Theory,2024–,,TV-PG,This title is currently not ratable,,,
110. Snow White,2025,,,This title is currently not ratable,,,
111. Untitled Karate Kid Movie,2025,,,This title is currently not ratable,,,
112. Aladdin,2019,2h 8m,PG,IMDb rating: 6.9, (290K),53,
113. Anne with an E,2017–2019,,TV-PG,IMDb rating: 8.6, (67K),,
114. Spider-Man: Beyond the Spider-Verse,,,,This title is currently not ratable,,,
115. Lopez vs. Lopez,2022–,,TV-14,IMDb rating: 6.2, (1.6K),,
116. Moana,2026,,,This title is currently not ratable,,,
117. Clash of the Titans,1981,1h 58m,PG,IMDb rating: 6.9, (48K),59,
118. The Parent Trap,1998,2h 8m,PG,IMDb rating: 6.6, (155K),63,
119. Just the Ten of Us,1987–1990,,TV-G,IMDb rating: 7.0, (2K),,
120. I Can Only Imagine,2018,1h 50m,PG,IMDb rating: 7.3, (18K),30,
121. WALL·E,2008,1h 38m,G,IMDb rating: 8.4, (1.2M),95,
122. Cinderella,2015,1h 45m,PG,IMDb rating: 6.9, (191K),67,
123. Star Wars: Rebels,2014–2018,,TV-Y7-FV,IMDb rating: 8.1, (58K),,
124. Harry Potter and the Order of the Phoenix,2007,2h 18m,PG-13,IMDb rating: 7.5, (634K),71,
125. Cinderella,2021,1h 52m,PG,IMDb rating: 4.4, (47K),41,
126. Holes,2003,1h 57m,PG,IMDb rating: 7.0, (100K),71,
127. Smurfs: The Lost Village,2017,1h 30m,PG,IMDb rating: 6.0, (24K),40,
128. Hercules,1997,1h 33m,G,IMDb rating: 7.3, (255K),74,
129. The Brady Bunch,1969–1974,,TV-PG,IMDb rating: 6.8, (16K),,
130. Labyrinth,1986,1h 41m,PG,IMDb rating: 7.3, (150K),50,
131. Minecraft,2025,,,This title is currently not ratable,,,
132. The Last Airbender,2010,1h 43m,PG,IMDb rating: 4.0, (175K),20,
133. Mulan,1998,1h 27m,G,IMDb rating: 7.7, (317K),72,
134. Sing,2016,1h 48m,PG,IMDb rating: 7.1, (191K),59,
135. Family Star,2024,2h 39m,,IMDb rating: 5.1, (2.4K),,
136. The Karate Kid,2010,2h 20m,PG,IMDb rating: 6.2, (206K),61,
137. Kung Fu Panda 2,2011,1h 30m,PG,IMDb rating: 7.3, (321K),67,
138. How to Train Your Dragon,2010,1h 38m,PG,IMDb rating: 8.1, (801K),75,
139. The Flintstones,1994,1h 31m,PG,IMDb rating: 5.0, (87K),38,
140. Harry Potter and the Half-Blood Prince,2009,2h 33m,PG,IMDb rating: 7.6, (596K),78,
141. The Mighty Ducks,1992,1h 44m,PG,IMDb rating: 6.6, (72K),46,
142. Pokémon,1997–2023,,TV-Y7,IMDb rating: 7.5, (48K),,
143. One Punch Man,2015–,,TV-PG,IMDb rating: 8.7, (186K),,
144. Family Matters,1989–1998,,TV-G,IMDb rating: 6.6, (30K),,
145. Miraculous: Tales of Ladybug & Cat Noir,2015–,,TV-Y7,IMDb rating: 7.5, (15K),,
146. The Bad Guys,2022,1h 40m,PG,IMDb rating: 6.8, (59K),64,
147. Leo,2023,1h 42m,PG,IMDb rating: 7.0, (35K),65,
148. Wonder,2017,1h 53m,PG,IMDb rating: 7.9, (179K),66,
149. Teenage Mutant Ninja Turtles,1990,1h 33m,PG,IMDb rating: 6.8, (105K),51,
150. Alice in Wonderland,2010,1h 48m,PG,IMDb rating: 6.4, (441K),53,
151. Maleficent,2014,1h 37m,PG,IMDb rating: 6.9, (401K),56,
152. Lost in Space,2018–2021,,TV-PG,IMDb rating: 7.3, (106K),,
153. Three Men and a Little Lady,1990,1h 44m,PG,IMDb rating: 5.5, (27K),51,
154. Soul,2020,1h 40m,PG,IMDb rating: 8.0, (380K),83,
155. Sabrina the Teenage Witch,1996–2003,,TV-G,IMDb rating: 6.7, (43K),,
156. Sky High,2005,1h 40m,PG,IMDb rating: 6.3, (95K),62,
157. Percy Jackson & the Olympians: The Lightning Thief,2010,1h 58m,PG,IMDb rating: 5.9, (203K),47,
158. iCarly,2007–2012,,TV-G,IMDb rating: 6.8, (45K),,
159. A Series of Unfortunate Events,2017–2019,,TV-PG,IMDb rating: 7.7, (67K),,
160. Bridge to Terabithia,2007,1h 36m,PG,IMDb rating: 7.2, (173K),74,
